,Zone,State,City,Type,Establishment Year,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Number of google review in lakhs,Best Time to visit,Name,Adult fee,children fee,foreigner fee
0,Northern,Delhi,Delhi,War Memorial,1921,0.5,4.6,0,Yes,None,Historical,Yes,2.6,Evening,India Gate,No entry fee,No entry fee,No entry fee
1,Northern,Delhi,Delhi,Tomb,1572,2,4.5,30,Yes,None,Historical,Yes,0.4,Afternoon,Humayun's Tomb,₹40 for Indian citizens,"children below 15 years: free)​
DELHI TOURISM",₹600 for foreign tourists
2,Northern,Delhi,Delhi,Temple,2005,5,4.6,60,Yes,None,Religious,No,0.4,Afternoon,Akshardham Temple,"Entry to the temple is free. Fees apply for exhibitions and the musical fountain show (₹220 for adults, ₹170 for senior citizens, ₹120 for children)​","Entry to the temple is free. Fees apply for exhibitions and the musical fountain show (₹220 for adults, ₹170 for senior citizens, ₹120 for children)​",₹ 300
3,Northern,Delhi,Delhi,Theme Park,2019,2,4.1,50,Yes,Monday,Environmental,Yes,0.27,Evening,Waste to Wonder Park,₹50 for adults,"₹25 for children aged 3-12 years(free entry for children below 3 years and senior citizens)​
",₹100 for foreign tourists
4,Northern,Delhi,Delhi,Observatory,1724,2,4.2,15,Yes,None,Scientific,Yes,0.31,Morning,Jantar Mantar,₹25 for Indian citizens,"children below 15 years: free)​
DELHI TOURISM",₹300 for foreign tourists
5,Northern,Delhi,Delhi,Market,1700,3,4.2,0,Yes,Sunday,Market,Yes,0.25,Afternoon,Chandni Chowk,"No entry fee, as it is a public market area.","No entry fee, as it is a public market area.","No entry fee, as it is a public market area."
6,Northern,Delhi,Delhi,Temple,1986,1,4.5,0,Yes,Monday,Religious,Yes,0.59,Evening,Lotus Temple,Free entry​,Free entry​,Free entry​
7,Northern,Delhi,Delhi,Fort,1648,2,4.5,35,Yes,None,Historical,Yes,1.5,Afternoon,Red Fort,₹50 for Indian citizens,free for children below 15 years,₹600 for foreign tourists
8,Northern,Delhi,Delhi,Stepwell,1400,1,4.2,0,Yes,None,Historical,Yes,0.41,Afternoon,Agrasen ki Baoli,Free entry.,Free entry.,Free entry.
9,Northern,Delhi,Delhi,Park,1600,2,4.6,0,Yes,None,Botanical,Yes,0.16,Afternoon,Sunder Nursery,₹50 for Indian citizens,₹50 for Indian citizens,₹100 for foreign tourists
