si_no,name_of_the_museum,location,adult_ticket_price,child_ticket_price,foreigner,free_entry,timing,closed,smart_phone,camera,official_museum_website_link
2,National Museum,New Delhi,20,Not Available,500,STUDENT UPTO 12(FREE),1000 AM to 600 PM,MONDAY AND NATIONAL HOLIDAY,Not Available,Not Available,https://www.nationalmuseumindia.gov.in/en
3,Chhatrapati shivaji maharaj vastu sangrahalaya,mumbai,150,35(Child and school) and college student Rs75,100,Not Available,Not Available,Not Available,FREE,FREE,https://csmvs.in/
4,National Rail museum,New Delhi,"50),MUSEUM EXPRESS(20)-WD ENTRY(100),MUSEUM EXPRESS(50)-WE &GH","10),MUSEUM EXPRESS(10)-WD ENTRY(20),MUSEUM EXPRESS(20)-WE&GH",Not Available,BELOW 3(FREE) AND FOR SCHOOL AND INSTITUTION FOR MORE THAN 30 tickets 50%DISCOUNT (WE AND GOVT.HOLIDAYS DISCOUNT NOT AVAILABLE,1000 AM to 500 PM,MONDAY,Not Available,Not Available,https://www.nrmindia.org/whereWhen
5,the Calico Museum of Textiles,Ahmedabad,10 NOT ALLOWED AND BETWEEN 10-15 ALLOWED,Not Available,Not Available,Not Available,museum tour:1030 AM to 1230 PM and 230 PM to 430 PM garden tour:330 PM to 500 PM (thursday),MONDAY,NOT ALLOWED,NOT ALLOWED,https://www.calicomuseum.org/
6,District Musuem,Chennai,5,3 and bonafide( RS 0) only for school,"100,children-100,bonafide students-100",Not Available,1000 ma to 630 PM,ALL FRIDAYS AND NATIONAL HOLIDAYS ,"STILL CAMERA(20),VEDIO CAMERA(100)","STILL CAMERA(20),VEDIO CAMERA(100)",https://govtmuseumchennai.org/online-booking
7,Chennai Railway Museum,Chennai,15,10 and bonafide(5)only for school,"250,children-125,bonafide students-75",Not Available,1000 ma to 630 PM,ALL FRIDAYS AND NATIONAL HOLIDAYS ,"STILL CAMERA(200),VEDIO CAMERA(500)","STILL CAMERA(200),VEDIO CAMERA(500)",Not Available
8,Shankar's International Dolls Museum,New Delhi,25,10 and  Children in groups of 20 are charged at the concessional rate of Rs.5/- per child plus service tax as applicable ,Not Available,Not Available,1000 AM to 600 PM,MONDAY AND NATIONAL HOLIDAY,Not Available,Not Available,https://www.childrensbooktrust.com/dollsmuseum.html
9,The City Palace,Jaipur,300,5-12 rs 150,700 AND CHILD 400,below 5 free and discount Adult Discount (Senior citizen/ Defence)-150,Not Available,Not Available,Not Available,Not Available,https://royaljaipur.in/index.php/plan-your-visit/the-city-palace/
10,Napier Museum,Thiruvananthapuram,12 years: 20.00 INR,12 years and above 5 years: 10.00 INR,"12 years )	₹ 200",,,,,,
,Free entry for childrens under 15 years on all Sundays.,"open 10:00 - 16:45 hrs, wednesday 13:00 - 16:45 hrs","Closed on Mondays, January 26th, August 15th, Thiruvonam and Mahanavami",Not Available,Not Available,https://www.napiermuseum.org/,,,,,
11,Albert Hall Museum, jaipur,40 per person for Indians,20 per person for Indian Students Night: Rs 100,300 per person for Foreign Tourists,"Free entry for Children below 7 years for 'night visit' only . Free on the following days:
Rajasthan Day - 30 March
World Heritage Day - 18 April
World Museum Day - 18 May
World Tourism Day - 27 September",9:00 AM – 5:00 PM 7:00 PM – 10:00 PM,Not Available,Not Available,Not Available,https://jaipurtourism.co.in/albert-hall-museum-jaipur#google_vignette
12,HAL Heritage Centre and Aerospace Museum,Bengaluru,50/- ,18 yrs)      ,Not Available,"Children upto 3 years   
Physically Handicapped ",9 AM to 5 PM on all days,Not Available,Rs 20/- ,"Still Camera  Rs 50/- 
Video Camera Rs 75/- ",https://service.hal-india.co.in/Heritage%20Centre%20and%20Aerospace%20Museum/M__20
13,Patna Museum,Patna,100,50,500,Not Available,10:30 AM - 4:30 PM,Monday,Not Available,Not Available,https://www.makemytrip.com/tripideas/attractions/patna-museum
14,Sulabh International Museum,New Delhi,Not Available,Not Available,Not Available,for all including parking and guide,monday - saturday: 10 AM - 6 PM sundays & holidays: 10 AM to 5 PM,National Holidays,Not Available,Not Available,https://www.sulabhtoiletmuseum.org/
15,The Partition Museum,Amritsar,Not Available,Not Available,Not Available,Free entry,AMritsar: 10:00 AM - 6:00 PM delhi: 10:00 AM - 5:00 PM,"Monday 26 January (Republic Day), 15 August (Independence Day) and 2 October (Gandhi Jayanti) ",Not Available,Not Available,https://www.partitionmuseum.org/
16,City Palace,Udaipur,"18 - Rs.400         Defence, Paramilitary, Police Personnels & their Spouse and Senior Citizen above 60 years Age Rs. 250",5-18 years Rs.150             students(with ID) Rs.150,same,disabled,9 AM–9 PM,Not Available,Not Available,Not Available,https://citypalacemuseum.org/
17,Patang Kite Museum,Ahmedabad,no entry fee,no entry fee,Not Available,all,10:00 AM – 12:00 PM 4:00 PM – 6:00 PM,"monday ,Government Holidays",not allowed,not allowed,https://www.bdlmuseum.org/visit/index.php
18,BDL Museum Plaza,mumbai,1 December 2023 till further notice.,Not Available,Not Available,Not Available,10:00 AM to 5:30 PM,Wednesdays and select public holidays,"  Photography Guidelines given with permission
",Not Available,https://www.bdlmuseum.org/visit/index.php
19,Mani Bhavan Gandhi Sangrahalaya,mumbai,20/- per ,10/- for students,Not Available,Not Available,930 AM to 530 PM, 2nd & 4th Saturdays and public holidays.,Not Available,Not Available,https://www.gandhi-manibhavan.org/
20," 
The Allahabad Museum",Allahabad,50/-,20/-,500/-               CHILDREN Foreigner-   Rs. 50/-   ,1. Indian Children up to age of 8 years        2. Indian Student up to class-12 (In uniform or showing upon I-Card) along with teachers,tuesday - sunday: 1030 AM to 600 PM,MONDAY ,"Mobile Photography charges from visitors for the art objects displayed in the galleries.        Free
2        Videography of galleries with mobile phone.        Rs. 2000/-
3        Commercial Rate for Videography/shooting of antiquities displayed in the gallery.        Rs. 25,000/-
4        High resolution images for research.        Rs. 1,000/-
5        High resolution images for commercial purpose for one time use.        Rs. 5,000/- per images with acknowledgement and two copies of publication
","1.Commercial Rate for Videography/shooting of antiquities displayed in the gallery. Rs. 25,000/-                                2. High resolution images for research. Rs. 1,000/-        3.High resolution images for commercial purpose for one time use. Rs. 5,000/- per images with acknowledgement and two copies of publication",https://theallahabadmuseum.com/#
21,INDIAN MUSEUM, KOLKATA,75,20,500,below 5 years,tuesday to sunday 10:00 AM to 6:00 PM,"Mondays and Public Holidays, i.e.  Republic Day (January 26th), Independence Day (August 15th), Mahatma Gandhiji’s Birthday (October 2nd), Holi Festival, Dusshera or Vijaya Dashami, Diwali and Id-ul-fitr.",₹50,"Photography with DSLR Camera - ₹ 100/-
Small Video Camera - ₹ 2000/-
Camera with Stand - ₹ 5000/-",https://indianmuseumkolkata.org/
22,Salar Jung Museum,Hyderabad,50,20,500,below 5 years,10:00 AM to 5:00 PM,Fridays and public holidays,₹50,₹50,https://www.salarjungmuseum.in/
